Race,Candidate,Vote Type,Locality,Votes
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 5-7,546
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 5-7,167
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 5-8,735
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 5-8,301
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 5-9,591
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 5-9,188
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 5-10,696
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 5-10,171
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 5-12,593
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 5-12,187
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 5-13,877
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 5-13,355
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Essex Fells 1,715
For Governor / Lt. Governor (Vote For 1),,Total,Essex Fells 1,229
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Essex Fells 2,1136
For Governor / Lt. Governor (Vote For 1),,Total,Essex Fells 2,412
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Fairfield 1,987
For Governor / Lt. Governor (Vote For 1),,Total,Fairfield 1,308
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Fairfield 2,1481
For Governor / Lt. Governor (Vote For 1),,Total,Fairfield 2,424
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Fairfield 3,1379
For Governor / Lt. Governor (Vote For 1),,Total,Fairfield 3,421
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Fairfield 4,1098
For Governor / Lt. Governor (Vote For 1),,Total,Fairfield 4,391
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Fairfield 5,790
For Governor / Lt. Governor (Vote For 1),,Total,Fairfield 5,206
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Glen Ridge 1,757
For Governor / Lt. Governor (Vote For 1),,Total,Glen Ridge 1,340
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Glen Ridge 2,1147
For Governor / Lt. Governor (Vote For 1),,Total,Glen Ridge 2,468
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Glen Ridge 3,658
For Governor / Lt. Governor (Vote For 1),,Total,Glen Ridge 3,320
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Glen Ridge 4,934
For Governor / Lt. Governor (Vote For 1),,Total,Glen Ridge 4,344
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Glen Ridge 5,579
For Governor / Lt. Governor (Vote For 1),,Total,Glen Ridge 5,270
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Glen Ridge 7,884
For Governor / Lt. Governor (Vote For 1),,Total,Glen Ridge 7,411
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Glen Ridge 8,700
For Governor / Lt. Governor (Vote For 1),,Total,Glen Ridge 8,262
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Irvington N-1,703
For Governor / Lt. Governor (Vote For 1),,Total,Irvington N-1,202
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Irvington N-2,1023
For Governor / Lt. Governor (Vote For 1),,Total,Irvington N-2,276
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Irvington N-3,885
For Governor / Lt. Governor (Vote For 1),,Total,Irvington N-3,265
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Irvington N-4,732
For Governor / Lt. Governor (Vote For 1),,Total,Irvington N-4,205
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Irvington N-5,910
For Governor / Lt. Governor (Vote For 1),,Total,Irvington N-5,266
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Irvington N-6,1185
For Governor / Lt. Governor (Vote For 1),,Total,Irvington N-6,371
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Irvington N-7,919
For Governor / Lt. Governor (Vote For 1),,Total,Irvington N-7,271
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Irvington N-8,687
For Governor / Lt. Governor (Vote For 1),,Total,Irvington N-8,223
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Irvington N-9,559
For Governor / Lt. Governor (Vote For 1),,Total,Irvington N-9,185
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Irvington S-1,1130
For Governor / Lt. Governor (Vote For 1),,Total,Irvington S-1,307
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Irvington S-2,653
For Governor / Lt. Governor (Vote For 1),,Total,Irvington S-2,142
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Irvington S-3,1137
For Governor / Lt. Governor (Vote For 1),,Total,Irvington S-3,387
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Irvington S-5,445
For Governor / Lt. Governor (Vote For 1),,Total,Irvington S-5,113
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Irvington S-7,1016
For Governor / Lt. Governor (Vote For 1),,Total,Irvington S-7,295
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Irvington S-8,1088
For Governor / Lt. Governor (Vote For 1),,Total,Irvington S-8,382
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Irvington S-9,592
For Governor / Lt. Governor (Vote For 1),,Total,Irvington S-9,167
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Irvington S-10,835
For Governor / Lt. Governor (Vote For 1),,Total,Irvington S-10,253
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Irvington S-11,692
For Governor / Lt. Governor (Vote For 1),,Total,Irvington S-11,193
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Irvington E-1,940
For Governor / Lt. Governor (Vote For 1),,Total,Irvington E-1,266
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Irvington E-2,863
For Governor / Lt. Governor (Vote For 1),,Total,Irvington E-2,274
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Irvington E-3,681
For Governor / Lt. Governor (Vote For 1),,Total,Irvington E-3,209
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Irvington E-4,1333
For Governor / Lt. Governor (Vote For 1),,Total,Irvington E-4,308
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Irvington E-5,966
For Governor / Lt. Governor (Vote For 1),,Total,Irvington E-5,206
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Irvington E-8,956
For Governor / Lt. Governor (Vote For 1),,Total,Irvington E-8,306
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Irvington E-9,848
For Governor / Lt. Governor (Vote For 1),,Total,Irvington E-9,156
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Irvington E-10,598
For Governor / Lt. Governor (Vote For 1),,Total,Irvington E-10,162
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Irvington W-1,1075
For Governor / Lt. Governor (Vote For 1),,Total,Irvington W-1,335
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Irvington W-2,821
For Governor / Lt. Governor (Vote For 1),,Total,Irvington W-2,224
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Irvington W-3,688
For Governor / Lt. Governor (Vote For 1),,Total,Irvington W-3,192
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Irvington W-4,676
For Governor / Lt. Governor (Vote For 1),,Total,Irvington W-4,189
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Irvington W-6,631
For Governor / Lt. Governor (Vote For 1),,Total,Irvington W-6,170
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Irvington W-7,741
For Governor / Lt. Governor (Vote For 1),,Total,Irvington W-7,260
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Irvington W-8,1243
For Governor / Lt. Governor (Vote For 1),,Total,Irvington W-8,315
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Irvington W-9,947
For Governor / Lt. Governor (Vote For 1),,Total,Irvington W-9,291
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Livingston 1,774
For Governor / Lt. Governor (Vote For 1),,Total,Livingston 1,278
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Livingston 2,909
For Governor / Lt. Governor (Vote For 1),,Total,Livingston 2,313
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Livingston 3,1015
For Governor / Lt. Governor (Vote For 1),,Total,Livingston 3,382
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Livingston 4,799
For Governor / Lt. Governor (Vote For 1),,Total,Livingston 4,239
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Livingston 5,1121
For Governor / Lt. Governor (Vote For 1),,Total,Livingston 5,381
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Livingston 6,810
For Governor / Lt. Governor (Vote For 1),,Total,Livingston 6,280
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Livingston 7,713
For Governor / Lt. Governor (Vote For 1),,Total,Livingston 7,246
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Livingston 8,822
For Governor / Lt. Governor (Vote For 1),,Total,Livingston 8,306
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Livingston 9,624
For Governor / Lt. Governor (Vote For 1),,Total,Livingston 9,222
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Livingston 10,1236
For Governor / Lt. Governor (Vote For 1),,Total,Livingston 10,398
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Livingston 11,1016
For Governor / Lt. Governor (Vote For 1),,Total,Livingston 11,262
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Livingston 12,1035
For Governor / Lt. Governor (Vote For 1),,Total,Livingston 12,298
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Livingston 13,843
For Governor / Lt. Governor (Vote For 1),,Total,Livingston 13,257
